Date,Open,High,Low,Close,Adj Close,Volume
2019-12-31,137.0,137.66000366210938,135.9600067138672,137.5500030517578,129.09580993652344,972500
2020-01-02,137.39999389648438,137.57000732421875,135.00999450683594,135.8300018310547,127.48152160644531,1421300
2020-01-03,134.97999572753906,136.77000427246094,134.6199951171875,135.7899932861328,127.4439697265625,1352900
2020-01-06,135.83999633789062,136.47999572753906,135.3300018310547,136.08999633789062,127.72550201416016,1181300
2020-01-07,135.49000549316406,136.72999572753906,135.2899932861328,135.97000122070312,127.61290740966797,1608500
2020-01-08,136.35000610351562,138.05999755859375,135.92999267578125,137.2899932861328,128.85177612304688,1741300
2020-01-09,137.5500030517578,139.58999633789062,136.9199981689453,139.4600067138672,130.88841247558594,1727500
2020-01-10,139.2899932861328,140.77999877929688,138.64999389648438,140.22999572753906,131.61105346679688,1270000
2020-01-13,140.27000427246094,141.5800018310547,140.10000610351562,140.89999389648438,132.23989868164062,1216100
2020-01-14,140.80999755859375,141.0500030517578,140.16000366210938,140.99000549316406,132.3243865966797,2187500
2020-01-15,141.1699981689453,142.4499969482422,141.1699981689453,142.16000366210938,133.42245483398438,1245100
2020-01-16,142.4600067138672,143.42999267578125,142.22000122070312,143.42999267578125,134.61436462402344,1610800
2020-01-17,143.52000427246094,144.74000549316406,143.41000366210938,144.5,135.61863708496094,1640000
2020-01-21,144.60000610351562,144.83999633789062,143.05999755859375,144.58999633789062,135.70310974121094,1493600
2020-01-22,144.88999938964844,145.82000732421875,144.33999633789062,144.38999938964844,135.51541137695312,2088200
2020-01-23,140.11000061035156,149.22999572753906,138.3000030517578,144.64999389648438,135.75941467285156,3703300
2020-01-24,145.50999450683594,146.60000610351562,143.1199951171875,143.4199981689453,134.60501098632812,2107600
2020-01-27,142.8699951171875,145.0800018310547,142.11000061035156,143.9600067138672,135.11180114746094,2425900
2020-01-28,144.1300048828125,145.4600067138672,143.97000122070312,144.88999938964844,135.9846649169922,1203300
2020-01-29,144.83999633789062,145.1699981689453,143.0,143.1999969482422,134.39852905273438,1107800
2020-01-30,143.38999938964844,144.8300018310547,142.8800048828125,144.6300048828125,135.7406463623047,990300
2020-01-31,145.14999389648438,147.66000366210938,143.1999969482422,143.24000549316406,134.43606567382812,1712000
2020-02-03,143.6999969482422,144.55999755859375,143.13999938964844,143.77999877929688,134.94287109375,1240200
2020-02-04,144.2100067138672,145.47000122070312,143.11000061035156,143.3800048828125,134.5674591064453,1334600
2020-02-05,143.5399932861328,145.08999633789062,143.24000549316406,145.07000732421875,136.1536102294922,1214300
2020-02-06,145.16000366210938,146.0800018310547,144.50999450683594,144.52999877929688,135.64678955078125,1063400
2020-02-07,144.72999572753906,145.22999572753906,144.42999267578125,144.82000732421875,135.91896057128906,1005200
2020-02-10,145.07000732421875,146.52999877929688,145.00999450683594,146.2100067138672,137.22354125976562,1241700
2020-02-11,146.05999755859375,146.64999389648438,144.86000061035156,145.25,136.32254028320312,1070700
2020-02-12,144.5399932861328,145.22999572753906,143.89999389648438,144.2899932861328,135.42152404785156,954200
2020-02-13,144.49000549316406,145.58999633789062,144.17999267578125,144.74000549316406,135.84390258789062,1100100
2020-02-14,144.8800048828125,145.6300048828125,144.25999450683594,145.55999755859375,136.61346435546875,941400
2020-02-18,144.97000122070312,145.0800018310547,143.52000427246094,143.83999633789062,134.9991912841797,1381800
2020-02-19,143.8800048828125,144.99000549316406,143.3800048828125,143.77000427246094,134.93350219726562,1047800
2020-02-20,143.3699951171875,143.85000610351562,141.82000732421875,142.1699981689453,133.4318389892578,1364300
